id,date,discount,manufacturer_id,product,product_id,quantity,store_id,total_value,value
54,2019-06-03,0.0,554,HORTFG MACA IMPORTADA KG,964,0.22,3_8,1.76,7.98
55,2019-06-03,0.0,554,HORTFG MACA IMPORTADA KG,964,0.43,3_8,3.43,7.98
56,2019-06-03,0.0,554,HORTFG MACA IMPORTADA KG,964,0.73,3_8,5.83,7.98
57,2019-06-03,0.0,554,HORTFG MACA IMPORTADA KG,964,285,3_8,2.27,7.98
58,2019-06-03,0.0,554,HORTFG MACA IMPORTADA KG,964,445,3_8,3.55,7.98
59,2019-06-03,0.0,554,HORTFG MACA IMPORTADA KG,964,1.08,3_13,8.2,7.59
60,2019-06-03,0.0,554,HORTFG MACA IMPORTADA KG,964,715,3_8,5.71,7.98
61,2019-06-03,0.0,554,HORTFG MACA IMPORTADA KG,964,2145,3_13,16.28,7.59
62,2019-06-03,0.0,554,HORTFG PERA IMPORTADA KG,3340,0.65,3_13,5.84,8.99
63,2019-06-03,0.0,554,HORTFG PERA IMPORTADA KG,3340,525,3_13,4.72,8.99
64,2019-06-03,0.0,554,HORTFG PERA IMPORTADA KG,3340,0.47,3_13,4.23,8.99
65,2019-06-03,0.0,554,HORTFG PERA IMPORTADA KG,3340,375,3_8,3.37,8.99
66,2019-06-03,0.0,554,HORTFG PERA IMPORTADA KG,3340,0.5,3_13,4.5,8.99
67,2019-06-03,0.0,554,HORTFG PERA IMPORTADA KG,3340,0.49,3_8,4.41,8.99
68,2019-06-03,0.0,554,HORTFG PERA IMPORTADA KG,3340,325,3_13,2.92,8.99
69,2019-06-03,0.0,554,HORTFG PERA IMPORTADA KG,3340,0.75,3_8,6.74,8.99
70,2019-06-03,0.0,554,HORTFG PERA IMPORTADA KG,3340,0.21,3_8,1.89,8.99
71,2019-06-03,0.0,554,HORTFG PERA IMPORTADA KG,3340,0.32,3_13,2.88,8.99
72,2019-06-03,0.0,554,HORTFG PERA IMPORTADA KG,3340,405,3_8,3.64,8.99
73,2019-06-03,0.0,554,HORTFG PERA IMPORTADA KG,3340,325,3_13,2.92,8.99
74,2019-06-03,0.0,554,HORTFG PERA IMPORTADA KG,3340,315,3_8,2.83,8.99
75,2019-06-03,0.0,554,HORTFG PERA IMPORTADA KG,3340,0.37,3_8,3.33,8.99
76,2019-06-03,0.0,554,HORTFG PERA IMPORTADA KG,3340,0.48,3_13,4.32,8.99
77,2019-06-03,0.0,554,HORTFG PERA IMPORTADA KG,3340,395,3_8,3.55,8.99
78,2019-06-03,0.0,554,HORTFG PERA IMPORTADA KG,3340,385,3_8,3.46,8.99
79,2019-06-03,0.0,554,HORTFG PERA IMPORTADA KG,3340,185,3_8,1.66,8.99
80,2019-06-03,0.0,554,HORTFG PERA IMPORTADA KG,3340,0.36,3_8,3.24,8.99
81,2019-06-03,0.0,554,HORTFG PERA IMPORTADA KG,3340,0.83,3_13,7.46,8.99
82,2019-06-03,0.0,554,HORTFG PERA IMPORTADA KG,3340,585,3_8,5.26,8.99
